COD_MUN_IBGE,NOME_CANDIDATO,QTDE_VOTOS
2918308,DILMA VANA ROUSSEFF,5492
2918357,DILMA VANA ROUSSEFF,6981
2918407,DILMA VANA ROUSSEFF,71389
2918456,DILMA VANA ROUSSEFF,4018
2918506,DILMA VANA ROUSSEFF,6661
2918555,DILMA VANA ROUSSEFF,1985
2918605,DILMA VANA ROUSSEFF,3418
2918704,DILMA VANA ROUSSEFF,2122
2918753,DILMA VANA ROUSSEFF,5047
2918803,DILMA VANA ROUSSEFF,9659
2918902,DILMA VANA ROUSSEFF,1813
2919009,DILMA VANA ROUSSEFF,1825
2919058,DILMA VANA ROUSSEFF,3118
2919108,DILMA VANA ROUSSEFF,3253
2919157,DILMA VANA ROUSSEFF,10799
2919207,DILMA VANA ROUSSEFF,50995
2919306,DILMA VANA ROUSSEFF,3468
2919405,DILMA VANA ROUSSEFF,4132
2919504,DILMA VANA ROUSSEFF,16783
2919553,DILMA VANA ROUSSEFF,9773
2919603,DILMA VANA ROUSSEFF,3574
2919702,DILMA VANA ROUSSEFF,5273
2919801,DILMA VANA ROUSSEFF,16585
2919900,DILMA VANA ROUSSEFF,3255
2919926,DILMA VANA ROUSSEFF,7897
2919959,DILMA VANA ROUSSEFF,2649
2920007,DILMA VANA ROUSSEFF,2959
2920106,DILMA VANA ROUSSEFF,6269
2920205,DILMA VANA ROUSSEFF,6004
2920304,DILMA VANA ROUSSEFF,3607
2920403,DILMA VANA ROUSSEFF,5568
2920452,DILMA VANA ROUSSEFF,4069
2920502,DILMA VANA ROUSSEFF,8544
2920601,DILMA VANA ROUSSEFF,14219
2920700,DILMA VANA ROUSSEFF,5430
2920809,DILMA VANA ROUSSEFF,3774
2920908,DILMA VANA ROUSSEFF,4060
2921005,DILMA VANA ROUSSEFF,16615
2921054,DILMA VANA ROUSSEFF,4932
2921104,DILMA VANA ROUSSEFF,8143
2921203,DILMA VANA ROUSSEFF,10845
2921302,DILMA VANA ROUSSEFF,4969
2921401,DILMA VANA ROUSSEFF,4675
2921450,DILMA VANA ROUSSEFF,3252
2921500,DILMA VANA ROUSSEFF,21415
2921609,DILMA VANA ROUSSEFF,3217
2921708,DILMA VANA ROUSSEFF,10995
2921807,DILMA VANA ROUSSEFF,4320
2921906,DILMA VANA ROUSSEFF,3696
2922003,DILMA VANA ROUSSEFF,10222
2922052,DILMA VANA ROUSSEFF,4375
2922102,DILMA VANA ROUSSEFF,7826
2922201,DILMA VANA ROUSSEFF,3701
2922250,DILMA VANA ROUSSEFF,4173
2922300,DILMA VANA ROUSSEFF,11044
2922409,DILMA VANA ROUSSEFF,6359
2922508,DILMA VANA ROUSSEFF,11541
2922607,DILMA VANA ROUSSEFF,3424
2922656,DILMA VANA ROUSSEFF,5201
2922706,DILMA VANA ROUSSEFF,5472
2922730,DILMA VANA ROUSSEFF,2988
2922755,DILMA VANA ROUSSEFF,2181
2922805,DILMA VANA ROUSSEFF,2612
2922854,DILMA VANA ROUSSEFF,3204
2922904,DILMA VANA ROUSSEFF,10328
2923001,DILMA VANA ROUSSEFF,10475
2923035,DILMA VANA ROUSSEFF,4390
2923050,DILMA VANA ROUSSEFF,2796
2923100,DILMA VANA ROUSSEFF,10382
2923209,DILMA VANA ROUSSEFF,8764
2923308,DILMA VANA ROUSSEFF,3021
2923357,DILMA VANA ROUSSEFF,4652
2923407,DILMA VANA ROUSSEFF,9057
2923506,DILMA VANA ROUSSEFF,3406
2923605,DILMA VANA ROUSSEFF,8423
2923704,DILMA VANA ROUSSEFF,11024
2923803,DILMA VANA ROUSSEFF,10725
2923902,DILMA VANA ROUSSEFF,3284
2924009,DILMA VANA ROUSSEFF,41813
